model,fold,block,n_features,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic__context_diet_labels,1,context,17,1,0.017290999311761174,0.13040591741972096,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,context,17,2,0.020053154636949982,0.14490873033953983,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,context,17,3,0.017449870057256206,0.11717578185717736,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,context,17,4,0.021752585550464026,0.1632513601453206,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,context,17,5,0.021576729878486883,0.15359425415773942,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,diet,15,1,-0.0031471465531605902,-0.015442469554038163,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,diet,15,2,-0.0007097193989789308,0.0003087217038231227,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,diet,15,3,1.6157063745386724e-05,0.011598601438158607,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,diet,15,4,0.0001527779176835331,0.010018831063932754,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,diet,15,5,0.0005557944621388256,0.013934153344628997,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,labels,6,1,-0.0013216664586610527,-0.010052971786990383,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,labels,6,2,0.000891761551585879,0.0065231947300059545,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,labels,6,3,-0.0014081300111514483,-0.013163274905290345,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,labels,6,4,-0.0003237181911061038,-0.00273837909740704,1006,2861322.5562906265
spline_logistic__context_diet_labels,1,labels,6,5,-0.0005551193419403022,-0.0032541380642674422,1006,2861322.5562906265
spline_logistic__context_diet_labels,2,context,17,1,0.018097055874515877,0.14136133146386076,1007,2574325.41285038
spline_logistic__context_diet_labels,2,context,17,2,0.021425927775575115,0.1568875194465832,1007,2574325.41285038
spline_logistic__context_diet_labels,2,context,17,3,0.019212857075027012,0.12998212381365992,1007,2574325.41285038
spline_logistic__context_diet_labels,2,context,17,4,0.02038026518217767,0.14398954328294722,1007,2574325.41285038
spline_logistic__context_diet_labels,2,context,17,5,0.01623187749589522,0.12137240301097008,1007,2574325.41285038
spline_logistic__context_diet_labels,2,diet,15,1,0.002737301201354403,0.010208024195900722,1007,2574325.41285038
spline_logistic__context_diet_labels,2,diet,15,2,0.003377232253841622,0.013187898966874334,1007,2574325.41285038
spline_logistic__context_diet_labels,2,diet,15,3,1.2586765588490367e-05,-0.0039519146187451115,1007,2574325.41285038
spline_logistic__context_diet_labels,2,diet,15,4,-0.0007575922495733356,-0.01443287256214365,1007,2574325.41285038
spline_logistic__context_diet_labels,2,diet,15,5,-0.00033161985081098244,-0.00797222417609933,1007,2574325.41285038
spline_logistic__context_diet_labels,2,labels,6,1,0.0009974654401091465,0.001204647125151559,1007,2574325.41285038
spline_logistic__context_diet_labels,2,labels,6,2,0.0007440080416719064,-0.0011842957435598267,1007,2574325.41285038
spline_logistic__context_diet_labels,2,labels,6,3,-0.0004304131351622609,-0.015264371741088856,1007,2574325.41285038
spline_logistic__context_diet_labels,2,labels,6,4,0.0009418352811628727,0.0009157463956093181,1007,2574325.41285038
spline_logistic__context_diet_labels,2,labels,6,5,0.001769818440968851,0.0053141991676027844,1007,2574325.41285038
spline_logistic__context_diet_labels,3,context,17,1,0.013525463679447791,0.07806700264153243,1011,2776332.157348156
spline_logistic__context_diet_labels,3,context,17,2,0.011338740651901685,0.06845763667948712,1011,2776332.157348156
spline_logistic__context_diet_labels,3,context,17,3,0.019290927083058462,0.12989488484269518,1011,2776332.157348156
spline_logistic__context_diet_labels,3,context,17,4,0.011230672393181679,0.0710830075395874,1011,2776332.157348156
spline_logistic__context_diet_labels,3,context,17,5,0.019038065335993892,0.13107369857204654,1011,2776332.157348156
spline_logistic__context_diet_labels,3,diet,15,1,0.0020875945274077545,0.010443830087701222,1011,2776332.157348156
spline_logistic__context_diet_labels,3,diet,15,2,0.0026345314664648067,0.011839721720821261,1011,2776332.157348156
spline_logistic__context_diet_labels,3,diet,15,3,0.005943531557363796,0.036111794355526805,1011,2776332.157348156
spline_logistic__context_diet_labels,3,diet,15,4,0.0015191703020576708,0.003338648352492979,1011,2776332.157348156
spline_logistic__context_diet_labels,3,diet,15,5,0.003335561439173018,0.021285484257841936,1011,2776332.157348156
